"","Model","NAA_re","est_M","M_re","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid",FALSE,"none",TRUE,TRUE,1,-990.489,50,-1811
"2","m2","ar1_a",FALSE,"none",TRUE,TRUE,1.44,-998.838,35.3,-1825.7
"3","m3","ar1_y",FALSE,"none",TRUE,TRUE,2.23,-1001.814,29.4,-1831.6
"4","m4","2dar1",FALSE,"none",TRUE,FALSE,0.74,-999.081,NA,NA
"5","m5","iid",FALSE,"iid",TRUE,TRUE,3.67,-1012.039,8.9,-1852.1
"6","m6","ar1_a",FALSE,"iid",TRUE,TRUE,3.59,-1011.968,11.1,-1849.9
"7","m7","ar1_y",FALSE,"iid",FALSE,FALSE,2,-1021.359,NA,NA
"8","m8","2dar1",FALSE,"iid",TRUE,TRUE,4.4,-1018.521,0,-1861
"9","m9","iid",FALSE,"ar1_a",TRUE,TRUE,3.5,-1001.418,32.2,-1828.8
"10","m10","ar1_a",FALSE,"ar1_a",FALSE,FALSE,2.05,NA,NA,NA
"11","m11","ar1_y",FALSE,"ar1_a",TRUE,FALSE,0.96,-1001.865,NA,NA
"12","m12","2dar1",FALSE,"ar1_a",TRUE,TRUE,4.21,-1008.462,22.1,-1838.9
"13","m13","iid",FALSE,"ar1_y",TRUE,TRUE,2.6,-1003.941,27.1,-1833.9
"14","m14","ar1_a",FALSE,"ar1_y",TRUE,FALSE,0.83,-1006.106,NA,NA
"15","m15","ar1_y",FALSE,"ar1_y",TRUE,TRUE,2.9,-1001.814,33.4,-1827.6
"16","m16","2dar1",FALSE,"ar1_y",TRUE,FALSE,0.97,-1005.027,NA,NA
"17","m17","iid",FALSE,"2dar1",TRUE,TRUE,3.8,-1010.241,16.5,-1844.5
"18","m18","ar1_a",FALSE,"2dar1",FALSE,FALSE,1.8,-1017.12,NA,NA
"19","m19","ar1_y",FALSE,"2dar1",FALSE,FALSE,1.46,-1013.196,NA,NA
"20","m20","2dar1",FALSE,"2dar1",FALSE,FALSE,1.39,-1023.354,NA,NA
"21","m21","iid",TRUE,"none",TRUE,TRUE,0.8,-1001.583,29.8,-1831.2
"22","m22","ar1_a",TRUE,"none",TRUE,TRUE,1.35,-1006.055,22.9,-1838.1
"23","m23","ar1_y",TRUE,"none",TRUE,TRUE,2.23,-1006.972,21.1,-1839.9
"24","m24","2dar1",TRUE,"none",TRUE,TRUE,2.51,-1009.402,18.2,-1842.8
"25","m25","iid",TRUE,"iid",FALSE,FALSE,3.4,NA,NA,NA
"26","m26","ar1_a",TRUE,"iid",FALSE,FALSE,2.44,NA,NA,NA
"27","m27","ar1_y",TRUE,"iid",FALSE,FALSE,1.29,-1026.122,NA,NA
"28","m28","2dar1",TRUE,"iid",FALSE,FALSE,1.44,-1034.995,NA,NA
"29","m29","iid",TRUE,"ar1_a",TRUE,TRUE,3.32,-1004.637,27.7,-1833.3
"30","m30","ar1_a",TRUE,"ar1_a",TRUE,TRUE,3.48,-1008.87,21.3,-1839.7
"31","m31","ar1_y",TRUE,"ar1_a",TRUE,TRUE,3.15,-1006.972,25.1,-1835.9
"32","m32","2dar1",TRUE,"ar1_a",FALSE,FALSE,1.83,-1009.402,NA,NA
"33","m33","iid",TRUE,"ar1_y",TRUE,TRUE,2.88,-1003.043,30.9,-1830.1
"34","m34","ar1_a",TRUE,"ar1_y",FALSE,TRUE,1.2,-1006.055,26.9,-1834.1
"35","m35","ar1_y",TRUE,"ar1_y",TRUE,FALSE,0.79,-1006.972,NA,NA
"36","m36","2dar1",TRUE,"ar1_y",FALSE,FALSE,1.12,-1000.585,NA,NA
"37","m37","iid",TRUE,"2dar1",TRUE,TRUE,4.01,-1016.261,6.5,-1854.5
"38","m38","ar1_a",TRUE,"2dar1",TRUE,TRUE,4.36,-1017.747,5.5,-1855.5
"39","m39","ar1_y",TRUE,"2dar1",FALSE,FALSE,1.12,-1024.342,NA,NA
"40","m40","2dar1",TRUE,"2dar1",FALSE,FALSE,1.13,-1031.538,NA,NA
