"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,FALSE,FALSE,0.34,-845.364,NA,NA
"2","m2","ar1_a","rec+1","rw","est",0,FALSE,FALSE,0.63,-845.686,NA,NA
"3","m3","ar1_y","rec+1","rw","est",0,FALSE,FALSE,0.75,-858.738,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,FALSE,FALSE,0.76,-857.12,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,TRUE,0.36,-832.849,10.6,-1519.7
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,TRUE,0.83,-838.597,1.1,-1529.2
"7","m7","ar1_y","rec+1","rw","est",2,TRUE,FALSE,1.32,-845.202,NA,NA
"8","m8","2dar1","rec+1","rw","est",2,FALSE,FALSE,1.22,-862.346,NA,NA
"9","m9","iid","rec+1","ar1","est",0,TRUE,TRUE,0.79,-823.38,29.5,-1500.8
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,TRUE,0.89,-828.821,20.7,-1509.6
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,FALSE,1.28,-840.089,NA,NA
"12","m12","2dar1","rec+1","ar1","est",0,TRUE,FALSE,1.51,-842.501,NA,NA
"13","m13","iid","rec+1","ar1","est",2,TRUE,TRUE,0.54,-831.961,14.4,-1515.9
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,TRUE,1.11,-837.644,5,-1525.3
"15","m15","ar1_y","rec+1","ar1","est",2,TRUE,FALSE,1.47,-844.39,NA,NA
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,FALSE,1.37,-847.026,NA,NA
"17","m17","iid","rec+1","rw","data",0,TRUE,TRUE,0.87,-824.875,22.5,-1507.8
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,TRUE,0.87,-830.317,13.7,-1516.6
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,FALSE,1.15,-841.585,NA,NA
"20","m20","2dar1","rec+1","rw","data",0,TRUE,FALSE,1.27,-843.996,NA,NA
"21","m21","iid","rec+1","rw","data",2,TRUE,TRUE,0.52,-832.753,8.8,-1521.5
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,TRUE,1.13,-838.135,0,-1530.3
"23","m23","ar1_y","rec+1","rw","data",2,TRUE,FALSE,1.12,-845.354,NA,NA
"24","m24","2dar1","rec+1","rw","data",2,TRUE,FALSE,1.66,-847.887,NA,NA
"25","m25","iid","rec+1","ar1","data",0,TRUE,TRUE,0.7,-823.505,27.3,-1503
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,TRUE,1.06,-828.947,18.4,-1511.9
"27","m27","ar1_y","rec+1","ar1","data",0,TRUE,FALSE,1.14,-840.215,NA,NA
"28","m28","2dar1","rec+1","ar1","data",0,TRUE,FALSE,1.14,-842.627,NA,NA
"29","m29","iid","rec+1","ar1","data",2,TRUE,TRUE,0.62,-831.343,13.6,-1516.7
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,TRUE,1.25,-836.726,4.8,-1525.5
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,FALSE,1.15,-843.954,NA,NA
"32","m32","2dar1","rec+1","ar1","data",2,TRUE,FALSE,1.64,-846.486,NA,NA
