"","Model","NAA_cor","NAA_sigma","conv","pdHess","runtime","NLL","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"1","m1","iid","rec",TRUE,TRUE,1.59,-934.024,221.6,-1712,5.8569,0.9883,-0.4163
"2","m2","ar1_y","rec",TRUE,TRUE,1.61,-957.164,177.3,-1756.3,4.558,0.9014,-0.3799
"3","m3","iid","rec+1",TRUE,TRUE,0.39,-1027.684,36.2,-1897.4,0.9733,0.2688,-0.1699
"4","m4","ar1_a","rec+1",TRUE,TRUE,0.83,-1036.859,19.9,-1913.7,0.5549,0.1213,-0.057
"5","m5","ar1_y","rec+1",TRUE,TRUE,0.9,-1044.252,5.1,-1928.5,0.7288,0.1411,-0.0762
"6","m6","2dar1","rec+1",TRUE,TRUE,0.95,-1047.803,0,-1933.6,0.5619,0.0912,-0.0314
